English Word	Arabic Meaning
a	واحد
abandon	تخلى
ability	قادر
ability	قدرة
abortion	إجهاض
about	حول
above	فوق
abroad	خارج البلاد
absence	غياب
absolute	مطلق
absolutely	إطلاقا
absorb	تمتص
abuse	تعاطي
academic	أكاديمي
accept	قبول
access	التمكن من
accident	حادثة
accompany	مرافقة
accomplish	ينجز
according	تبعا
account	الحساب
accurate	دقيق
accuse	اتهم
achieve	التوصل
achievement	إنجاز
acid	حامض
acknowledge	الإقرار
acquire	يستحوذ على
across	عير
act	يمثل
action	عمل
active	نشيط
activist	ناشط
activity	نشاط
actor	الممثل
actress	ممثلة
actual	فعلي
actually	في الواقع
ad	ميلادي
adapt	يتكيف
add	يضيف
addition	إضافة
additional	إضافي
address	عنوان
adequate	مناسب
adjust	يعدل
adjustment	تعديل
administration	الادارة
administrator	مدير
admire	معجب
admission	سماح بالدخول
admit	يعترف
adolescent	مراهق
adopt	يتبنى
adult	بالغ
advance	تقدم
advanced	المتقدمة
advantage	مميزات
adventure	مفامرة
advertising	إعلان
advice	النصيحة
advise	ينصح
adviser	مستشار
advocate	يدافع عن
affair	قضية
affect	يؤثر
afford	تحمل
afraid	خائف
African	الأفريقي
African-American	الافارقه الامريكان
after	بعد، بعدما
afternoon	بعد الظهر
again	تكرارا
against	ضد
age	سن
agency	وكالة
agenda	جدول أعمال
agent	وكيلات
aggressive	عنيف
ago	منذ
agree	يوافق على
agreement	اتفاق
agricultural	زراعي
ahead	امام
aid	يساعد
aide	مساعد
AIDS	الإيدز
aim	هدف، تصويب
air	هواء
aircraft	الطائرات
airline	شركة طيران
airport	مطار
album	الألبوم
alcohol	كحول
alive	على قيد الحياة
all	الكل
alliance	تحالف
allow	السماح
ally	حليف
almost	تقريبيا
alone	وحده
along	على امتداد
already	بالفعل
also	أيضا
alter	تبديل
alternative	لبديل
although	بالرغم ان
always	دائما
am	صباحا
amazing	مدهش
American	أمريكي
among	من بين
amount	كمية
an	واحد
analysis	التحليلات
analyst	المحلل
analyze	تحليل
ancient	عتيق
and	و
anger	الغضب
angle	زاوية
angry	غاضب
animal	حيوان
anniversary	ذكرى سنوية
announce	أعلن
annual	سنوي
another	اخر
answer	إجابه
anticipate	يتوقع
anxiety	القلق
any	أي
anybody	اي شخص
anymore	أي أكثر من ذلك
anyone	أي واحد
anything	اى شئ
anyway	على أي حال
anywhere	في أى مكان
apart	بعيدا، بمعزل، على حد
apartment	شقة
apparent	واضح
apparently	فيما يبدو
appeal	مناشدة
appear	يظهر
appearance	مظهر خارجي
apple	تفاح
application	تطبيق
apply	تطبيق
appoint	يعين
appointment	موعد
appreciate	يقدر
approach	مقاربة
appropriate	ملائم
approval	موافقة
approve	يوافق
approximately	تقريبا
Arab	عرب
architect	مهندس معماري
are	نكون
area	منطقة
argue	تجادل
argument	جدال
arise	تنشأ
arm	ذراع
armed	مسلح
army	جيش
around	حول
arrange	رتب
arrangement	ترتيب
arrest	يقبض على
arrival	وصول
arrive	يصل
art	فن
article	مقالة – سلعة
artist	فنان
artistic	فني
as	كما
Asian	آسيا
aside	جانبا
ask	يطلب
asleep	نائما
aspect	وجه
assault	الاعتداءات
assert	يجزم
assess	تقييم
assessment	تقيم
asset	أصل
assign	تعيين
assignment	مهمة
assist	مساعدة
assistance	مساعدة
assistant	مساعد
associate	مساعد
association	منظمة
assume	افترض
assumption	افتراض
assure	أؤكد
at	في
athlete	رياضي
athletic	رياضي
atmosphere	الغلاف الجوي
